#all cities of United States for weather info purposes (possibly world known cities)
#city	state
Bent Mountain	bent mountain
Benton	benton
Benton City	benton city
Benton Harbor	benton harbor
Bentonia	bentonia
Benton Station	benton station
Bentonville	bentonville
Bentree	bentree
Ben Wheeler	ben wheeler
Benwood	benwood
Benzonia	benzonia
Beowawe	beowawe
Berea	berea
Beresford	beresford
Bergen	bergen
Bergenfield	bergenfield
Berger	berger
Bergheim	bergheim
Bergholz	bergholz
Bergland	bergland
Bergton	bergton
Berkeley	berkeley
Berkeley Heights	berkeley heights
Berkey	berkey
Berkley	berkley
Berkshire	berkshire
Berlin	berlin
Berlin Center	berlin center
Berlin Heights	berlin heights
Bernalillo	bernalillo
Bernard	bernard
Bernardsville	bernardsville
Bern	bern
Berne	berne
Bernhards Bay	bernhards bay
Bernice	bernice
Bernie	bernie
Bernville	bernville
Beroun	beroun
Berrien Center	berrien center
Berrien Springs	berrien springs
Berry	berry
Berry Creek	berry creek
Berryman	berryman
Berrysburg	berrysburg
Berryton	berryton
Berryville	berryville
Bertha	bertha
Berthoud	berthoud
Bertram	bertram
Bertrand	bertrand
Berwick	berwick
Berwyn	berwyn
Beryl	beryl
Bessemer	bessemer
Bessemer City	bessemer city
Bessie	bessie
Best	best
Bethalto	bethalto
Bethanna	bethanna
Bethany Beach	bethany beach
Bethany	bethany
Bethel	bethel
Bethel Heights	bethel heights
Bethel Park	bethel park
Bethelridge	bethelridge
Bethel Springs	bethel springs
Bethesda	bethesda
Bethlehem	bethlehem
Bethpage	bethpage
Bethton	bethton
Bethune	bethune
Betsy Layne	betsy layne
Bettendorf	bettendorf
Betterton	betterton
Bettles Field	bettles field
Beulah	beulah
Beulaville	beulaville
Beverly	beverly
Beverly Hills	beverly hills
Bevier	bevier
Bevington	bevington
Bevinsville	bevinsville
Bexar	bexar
Bexley	bexley
Bible Grove	bible grove
Bickleton	bickleton
Bicknell	bicknell
Biddeford Pool	biddeford pool
Biddle	biddle
Bidwell	bidwell
Bienville	bienville
Big Arm	big arm
Big Bar	big bar
Big Bear City	big bear city
Bigbee	bigbee
Big Bend	big bend
Big Bend Nationa	big bend nationa
Big Cabin	big cabin
Big Chimney	big chimney
Big Clifty	big clifty
Big Cove	big cove
Big Cove Tannery	big cove tannery
Big Creek	big creek
Bigelow	bigelow
Big Falls	big falls
Big Flat	big flat
Big Flats	big flats
Bigfoot	bigfoot
Bigfork	bigfork
Biggers	biggers
Biggs	biggs
Biggsville	biggsville
Bighorn	bighorn
Big Island	big island
Big Lake	big lake
Big Laurel	big laurel
Biglerville	biglerville
Big Otter	big otter
Big Pine	big pine
Big Pine Key	big pine key
Big Pool	big pool
Big Prairie	big prairie
Big Rapids	big rapids
Big River	big river
Big Rock	big rock
Big Run	big run
Big Sandy	big sandy
Big Spring	big spring
Big Springs	big springs
Big Stone City	big stone city
Big Stone Gap	big stone gap
Big Sur	big sur
Big Timber	big timber
Big Water	big water
Big Wells	big wells
Billerica	billerica
Billings	billings
Billings Heights	billings heights
Billingsley	billingsley
Biloxi	biloxi
Bim	bim
Bimble	bimble
Binford	binford
Binger	binger
Bingham	bingham
Bingham Canyon	bingham canyon
Bingham Lake	bingham lake
Binghamton	binghamton
Birchdale	birchdale
Birch Harbor	birch harbor
Birch Island	birch island
Birchleaf	birchleaf
Birch River	birch river
Birch Run	birch run
Birch Tree	birch tree
Birchwood	birchwood
Bird City	bird city
Birdeye	birdeye
Bird In Hand	bird in hand
Bird Island	bird island
Birds	birds
Birdsboro	birdsboro
Birdseye	birdseye
Birds Landing	birds landing
Birdsnest	birdsnest
Birmingham	birmingham
Birnamwood	birnamwood
Birney	birney
Bisbee	bisbee
Biscoe	biscoe
Bishop	bishop
Bishopville	bishopville
Bismarck	bismarck
Bison	bison
Bitely	bitely
Bittinger	bittinger
Bivalve	bivalve
Bivins	bivins
Bixby	bixby
Blachly	blachly
Black	black
Blackburn	blackburn
Black Butte Ranc	black butte ranc
Black Creek	black creek
Black Diamond	black diamond
Blackduck	blackduck
Black Eagle	black eagle
Black Earth	black earth
Blackfoot	blackfoot
Black Hawk	black hawk
Blacklick	blacklick
Black Lick	black lick
Black Mountain S	black mountain s
Black Oak	black oak
Blackridge	blackridge
Black River	black river
Black River Fall	black river fall
Black Rock	black rock
Blackshear	blackshear
Blackstock	blackstock
Blackstone	blackstone
Blacksville	blacksville
Blackville	blackville
Blackwater	blackwater
Blackwater Bridg	blackwater bridg
Blackwell	blackwell
Bladen	bladen
Bladenboro	bladenboro
Bladensburg	bladensburg
Blain	blain
Blaine	blaine
Blair	blair
Blairs	blairs
Blairsburg	blairsburg
Blairs Mill	blairs mill
Blairs Mills	blairs mills
Blairstown	blairstown
Blairsville	blairsville
Blaisdell	blaisdell
Blakely	blakely
Blakesburg	blakesburg
Blakeslee	blakeslee
Blanca	blanca
Blanchard	blanchard
Blanchardville	blanchardville
Blanch	blanch
Blanchester	blanchester
Blanco	blanco
Bland	bland
Blandford	blandford
Blanding	blanding
Blandinsville	blandinsville
Blandon	blandon
Blandville	blandville
Blanket	blanket
Blanks	blanks
Blasdell	blasdell
Blauvelt	blauvelt
Blawnox	blawnox
Bleiblerville	bleiblerville
Blencoe	blencoe
Blenheim	blenheim
Blessing	blessing
Blevins	blevins
Bliss	bliss
Blissfield	blissfield
Block Island	block island
Blockton	blockton
Blodgett	blodgett
Bloom	bloom
Bloomburg	bloomburg
Bloom City	bloom city
Bloomdale	bloomdale
Bloomer	bloomer
Bloomery	bloomery
Bloomfield	bloomfield
Bloomfield Towns	bloomfield towns
Bloomingburg	bloomingburg
Bloomingdale	bloomingdale
Blooming Grove	blooming grove
Blooming Prairie	blooming prairie
Bloomingrose	bloomingrose
Bloomington	bloomington
Bloomington Spri	bloomington spri
Bloomsburg	bloomsburg
Bloomsbury	bloomsbury
Bloomsdale	bloomsdale
Bloomville	bloomville
Blossburg	blossburg
Blossom	blossom
Blossvale	blossvale
Blount	blount
Blounts Creek	blounts creek
Blountstown	blountstown
Blountsville	blountsville
Blountville	blountville
Blowing Rock	blowing rock
Bloxom	bloxom
